"source_id","nombre","categoria","marca","modelo","descripcion","precio","stock","imagen_url","activo"
"ZT-INV-75CB9E611F3B7D630F89","CARGADOR VIDVIE C-IP 30W A16","VIDVIE","","","","55000","5","","1"
"ZT-INV-BC9A7EBC25C41B65F902","CARGADOR XIAOMI 120W","XIAOMI","","","","150000","1","","1"
"ZT-INV-8F1E5568C260091DF25D","COMBO TECLADO F92","JEDEL","","","","85000","1","","1"
"ZT-INV-E48ABDF6A2D932460128","COMBO TECLADO JEDEL G10","JEDEL","","","","45000","3","","1"
"ZT-INV-E9E6BFB749DB7AC94935","COMBO TECLADO JEDEL WS732","JEDEL","","","","85000","1","","1"
"ZT-INV-D181071CC3AC5B991207","COMBO TECLADO JEDEL WS737","JEDEL","","","","120000","2","","1"
"ZT-INV-B543E396F67F2968DC1D","COMBO TECLADO JEDEL WS739","JEDEL","","","","120000","1","","1"
"ZT-INV-B4E75BBC3657AB962767","COMBO TECLADO JEDEL WS750","JEDEL","","","","110000","0","","1"
"ZT-INV-9A22FB58E9F2B285AF97","COMBO TECLADO K06","JEDEL","","","","65000","0","","1"
"ZT-INV-FB3AFD7382AD50436085","COMBO TECLADO WEIBO WB-218B","TECLADOS","","","","155000","0","","1"
"ZT-INV-F39183492A3A4A5EED24","CONTROL EPIK ELITE","CONTROLES","","","","150000","1","","1"
"ZT-INV-B11CE5854FFC1B422207","CONTROL PLAY 5 NEGRO","CONTROLES","","","CONTROL PLAY 5 ORIGINAL","320000","1","","1"
"ZT-INV-2191A4D73135559DB43D","CONTROL SCORPIO VSG","CONTROLES","","","","85000","1","","1"
"ZT-INV-FCCB6BC055729894D3B1","CONTROL SONY PS3","CONTROLES","","","","75000","2","","1"
"ZT-INV-E3F5151661F8472278EC","CONTROL X3","CONTROLES","","","","75000","1","","1"
"ZT-INV-1724D2613CECCB5127B3","CONTROL XBOX","CONTROLES","","","CONTROL XBOX SERIES","320000","1","","1"
"ZT-INV-C231E88EA1FD2ADC5BD5","CONTROL XBOX 360 BLANCO","CONTROLES","","","","75000","1","","1"
"ZT-INV-FBBB215B6FB1132A139B","CONTROL XBOX 360 NEGRO","CONTROLES","","","","75000","1","","1"
"ZT-INV-30C3BF84FFF2B4C39227","CUELLERA BLUETOOTH EPIK NECK BAND","EPIK","","","","95000","1","","1"
"ZT-INV-6F8677A5D5C87F5AA7E3","CUELLERA BLUETOOTH EPIK SPORT BONDS","EPIK","","","","105000","2","","1"
"ZT-INV-792C9BCF6FDF749E54D9","CUELLERA BLUETOOTH MOVISUN S8","MOVISUN","","","","85000","5","","1"
"ZT-INV-5DE27914728E4DC25B79","CUELLERA MOVISUN OSOM LITE","MOVISUN","","","","125000","0","","1"
"ZT-INV-E5BD98F295B6AC4A78E4","DIADEMA EPIK HEADSET LYRA","EPIK","","","","85000","4","","1"
"ZT-INV-796E3BC0723E22F19D3B","DIADEMA FANTECH HG22 FUSION","EPIK","","","","200000","1","","1"
"ZT-INV-6F3DB1857B31E51343FC","DIADEMA GAMER JEDEL GH269","JEDEL","","","","120000","1","","1"
"ZT-INV-E1E6913F082B2D8DBCC6","DIADEMA GAMER JEDEL GH559","JEDEL","","","","120000","1","","1"
"ZT-INV-8DA51E2BCE67A80C0939","DIADEMA GAMER JEDEL GH560","JEDEL","","","","165000","1","","1"
"ZT-INV-411201F018247B4D97C8","DIADEMA GAMER JEDEL GH562","JEDEL","","","","165000","1","","1"
"ZT-INV-5E380A8952B5526C8891","DIADEMA GAMER JEDEL GH563","JEDEL","","","","120000","1","","1"
